Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_023644506.1	213	AT1G46912.1	AT1G46912.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein
XP_023644507.1	335	AT1G47220.1	AT1G47220.1	orthologue	GO:0005515;GO:0005634;GO:0044772;GO:0016538;GO:0000307;GO:0000082;GO:0005737;GO:0051301	Cyclin-A3-3 (G2/mitotic-specific cyclin-A3-3) (CycA3;3)
XP_023644508.1	377	AT1G47350.1, AT1G47340.1	AT1G47340.1	orthologue	GO:0005634;GO:0005515;GO:0008150;GO:0003674;GO:0005575;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g47340
XP_023644509.1	401	AT1G47350.1, AT1G47340.1	AT1G47340.1	orthologue	GO:0005634;GO:0005515;GO:0008150;GO:0003674;GO:0005575;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g47340
XP_023644510.1	362	AT2G22440.1	AT2G22440.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523	Non-LTR retroelement reverse transcriptase
XP_023644511.1	278	AT1G55650.1	AT1G55650.1	orthologue	GO:0005634;GO:0008150;GO:0005515;GO:0003677;GO:0003700	Putative high mobility group B protein 11 (Nucleosome/chromatin assembly factor group D 11)
XP_023644512.1	218	AT3G31925.1	AT3G31925.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_023644513.1	358	AT5G62830.1	AT5G62830.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein
XP_023644514.1	483	AT5G62830.1	AT5G62830.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein
XP_023644515.1	1019	AT1G47890.1	AT1G47890.1	orthologue	GO:0007165;GO:0005576;GO:0016301;GO:0005886;GO:0005515	Receptor-like protein 7 (AtRLP7)
XP_023644516.1	136	AT1G47760.1	AT1G47760.1	orthologue	GO:0006357;GO:0003700;GO:0000977;GO:0000981;GO:0000978;GO:0045944;GO:0005515;GO:0046983;GO:0005634;GO:0003677	AGAMOUS-like 102 (MADS-box protein AGL102) (T2E6.17)
XP_023644517.1	312					
XP_023644518.1	136	AT1G47760.1	AT1G47760.1	orthologue	GO:0006357;GO:0003700;GO:0000977;GO:0000981;GO:0000978;GO:0045944;GO:0005515;GO:0046983;GO:0005634;GO:0003677	AGAMOUS-like 102 (MADS-box protein AGL102) (T2E6.17)
XP_023644519.1	202	AT5G51860.1	AT5G51860.1	orthologue	GO:0000981;GO:0003700;GO:0045944;GO:0000978;GO:0005634;GO:0006357;GO:0000977;GO:0009909;GO:0005515;GO:0046983;GO:0009908;GO:0030154;GO:0003677;GO:0006355	MADS-box protein AGL72 (Protein AGAMOUS-LIKE 72)
XP_023644520.1	396	AT1G47800.1, AT1G47810.1	AT1G47810.1	orthologue	GO:0005575;GO:0003674;GO:0008150;;GO:0005515	F-box protein At1g47810;Putative F-box protein At1g47800
XP_023644521.1	314	AT1G43010.1	AT1G43010.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0003729;GO:0005515;GO:0005739	Putative pentatricopeptide repeat-containing protein At1g43010
XP_023644522.1	166	AT1G75870.1	AT1G75870.1	orthologue	GO:0005575;GO:0004842;GO:0008150	T4O12.11
XP_023644523.1	335	AT3G32260.1, AT1G36510.1	AT1G36510.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677;GO:0006260;GO:0006281;GO:0005634;GO:0006310	Nucleic acid-binding proteins superfamily
XP_023644524.1	140	AT5G52750.1	AT5G52750.1	orthologue	GO:0005634;GO:0003674;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 13 (AtHIP13)
XP_023644525.1	248					
XP_023644526.1	211	AT1G48060.1	AT1G48060.1	orthologue	GO:0003674;GO:0005634;GO:0008150;;GO:0005515	F-box protein At1g48060
XP_023644527.1	394	AT1G48510.3	AT1G48510.3	orthologue	GO:0090351;GO:0005739;GO:0003674;GO:0005743;GO:0016020	SURF1-like protein;Surfeit locus protein 1-like (Surfeit 1-like) (Cytochrome c oxidase assembly protein SURF1-like)
XP_023644528.1	307	AT5G43935.1	AT5G43935.1	orthologue	GO:0009813;GO:0051555;GO:0045431;GO:0005737;GO:0046872	Probable flavonol synthase 6 (EC 1.14.20.6)
XP_023644529.1	336	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT1G33010.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_023644531.1	36	AT3G06895.1	AT3G06895.1	orthologue	GO:0005575;GO:0003674	F17A9.5 protein (Syntaxin KNOLLE-like protein)
XP_023644532.1	267	AT2G06425.1, AT4G04265.1, AT5G34581.1	AT5G34581.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005634	Hydroxyproline-rich glycoprotein family protein;PttA/En/Spm family plant transposase
XP_023644533.1	261	AT1G24388.1, AT3G25080.1, AT3G57210.1, AT4G11700.1	AT3G25080.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0005575	UPF0725 protein At3g25080;UPF0725 protein At3g57210;UPF0725 protein At4g11700;Uncharacterized protein
XP_023644534.1	199	AT4G10613.1, AT1G50080.1, AT2G19146.1	AT4G10613.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;Reverse transcriptase-like protein;Ribonuclease
XP_023644535.1	797	AT1G49900.1	AT1G49900.1	orthologue	GO:0005634;GO:0006355;GO:0000976;GO:0003700;GO:0008270	C2H2 type zinc finger transcription factor family (Cys2/His2-type zinc finger protein, putative) (Zinc finger protein ATZF1, putative; 45974-42444)
XP_023644536.1	1234	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523;GO:0003824	Non-LTR retroelement reverse transcriptase
XP_023644537.1	247	AT1G50580.1	AT1G50580.1	other	GO:0008150;GO:0008194;GO:0016757;GO:0009507;GO:0035251	UDP-glycosyltransferase 79B5 (EC 2.4.1.-)
XP_023644538.1	536	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523	Non-LTR retroelement reverse transcriptase
XP_023644539.1	279	AT5G18510.1, AT1G50830.1	AT5G18510.1	other	GO:0003674;GO:0005634;GO:0010073;GO:0008483	Aminotransferase-like, plant mobile domain family protein
XP_023644540.1	268	AT1G50880.1	AT1G50880.1	orthologue	GO:0005575;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At1g50880
XP_023644541.1	361	AT1G50980.1	AT1G50980.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	Putative FBD-associated F-box protein At1g50980
XP_023644542.1	493	AT3G31430.1	AT3G31430.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Zinc knuckle (CCHC-type) family protein
XP_023644543.1	357	AT5G03000.1, AT3G46050.1, AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G02990.1	AT3G46050.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005739;GO:0009507;;GO:0005515	At5g03010 (Galactose oxidase/kelch repeat superfamily protein);F-box/kelch-repeat protein At5g03020;Putative F-box/kelch-repeat protein At3g46050;Putative F-box/kelch-repeat protein At5g02980;Putative F-box/kelch-repeat protein At5g02995;Putative F-box/kelch-repeat protein At5g03000
XP_023644544.1	413	AT2G14830.1	AT2G14830.1	other	GO:0015031;GO:0005634;GO:0003674;GO:0008104	Ist1p
XP_023644545.1	467	AT1G52120.1	AT1G52120.1	orthologue	GO:0005634;GO:0005575;GO:0008150;GO:0003674;GO:0030246	Jacalin-related lectin 12
XP_023644546.1	427	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_023644547.1	333					
XP_023644548.1	391	AT1G52490.1	AT1G52490.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	Putative F-box protein At1g52490
XP_023644549.1	919	AT5G28190.1	AT5G28190.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0016020	Transmembrane protein
XP_023644550.1	779				GO:0008270	
XP_023644551.1	1123	AT1G63210.1	AT1G63210.1	other	GO:0005634;GO:0031491;GO:0008023;GO:0140673;GO:0005829;GO:0009793;GO:0006368;GO:0042393;GO:0034728;GO:0003676;GO:0006139	Transcription elongation factor SPT6-like
XP_023644552.1	481	AT5G50115.1	AT5G50115.1	orthologue	GO:0003674;GO:0008150;GO:0005634	Molecular chaperone Hsp40/DnaJ family protein
XP_023644553.1	560	AT2G24600.3	AT2G24600.3	orthologue	GO:0005737;GO:0003674;GO:0016020;GO:0005515;GO:0005886	Ankyrin repeat family protein;Ankyrin repeat family protein (Expressed protein)
XP_023644554.1	387	AT1G53370.2, AT1G53360.2	AT1G53360.2	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;;GO:0005515	Putative F-box protein At1g53360;Putative F-box protein At1g53370
XP_023644555.1	389	AT1G53370.2, AT1G53360.2	AT1G53360.2	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;;GO:0005515	Putative F-box protein At1g53360;Putative F-box protein At1g53370
XP_023644556.1	84	AT1G53541.1	AT1G53541.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Uncharacterized protein
XP_023644557.1	304	AT1G53550.1	AT1G53550.1	orthologue	GO:0008150;GO:0003674;GO:0005739	Putative F-box protein At1g53550
XP_023644558.1	265	AT1G61060.1	AT1G61060.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	Putative F-box protein At1g61060
XP_023644559.1	130					
XP_023644560.1	132	AT1G53640.1	AT1G53640.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0016020	Transmembrane protein
XP_023644561.1	164	AT1G53640.1	AT1G53640.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0016020	Transmembrane protein
XP_023644562.1	507	AT1G52950.1	AT1G52950.1	other	GO:0051321;GO:0007004;GO:0009506;GO:0006281;GO:0000724;GO:0005634;GO:0043047;GO:0003684;GO:0006310;GO:0005662;GO:0006289;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein (Putative replication protein; 94555-97079)
XP_023644563.1	263	AT1G54230.1, AT1G54240.1	AT1G54240.1	orthologue	GO:0003691;GO:0006334;GO:0000786;GO:0005634;GO:0003677	Winged helix-turn-helix transcription repressor DNA-binding protein;Winged-helix DNA-binding transcription factor family protein
XP_023644564.1	328	AT1G55070.1	AT1G55070.1	orthologue	GO:0003674;GO:0008150;GO:0005634	Putative F-box protein At1g55070
XP_023644565.1	132					
XP_023644566.1	307	AT1G60720.1, AT1G33710.1, AT3G25720.1	AT1G60720.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005634;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_023644567.1	449	AT1G55660.1, AT4G00315.1	AT4G00315.1	orthologue	GO:0003674;GO:0048587;GO:0048579;GO:0005634;GO:2000028;GO:0010187;GO:1902584;GO:0005575;GO:0005515	F-box/LRR-repeat protein At1g55660;FBD, F-box and Leucine Rich Repeat domains containing protein;Putative F-box/FBD/LRR-repeat protein At4g00315
XP_023644568.1	366	AT1G53370.2, AT1G53360.2	AT1G53360.2	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;;GO:0005515	Putative F-box protein At1g53360;Putative F-box protein At1g53370
XP_023644569.1	274	AT1G53370.2, AT1G53360.2	AT1G53360.2	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;;GO:0005515	Putative F-box protein At1g53360;Putative F-box protein At1g53370
XP_023644570.1	387	AT1G56030.1	AT1G56030.1	orthologue	GO:0004842;GO:0016567;GO:0005634	U-box domain-containing protein 57 (EC 2.3.2.27) (Plant U-box protein 57) (RING-type E3 ubiquitin transferase PUB57)
XP_023644571.1	424	AT1G56040.1	AT1G56040.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0004842;GO:0016567	Putative U-box domain-containing protein 58 (EC 2.3.2.27) (Plant U-box protein 58) (RING-type E3 ubiquitin transferase PUB58)
XP_023644572.1	208	AT1G30060.1, AT2G01800.1, AT4G00580.1	AT4G00580.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005634	COP1-interacting protein-like protein;COP1-interacting protein-like protein (COP1-interacting protein-related);COP1-interacting protein-like protein (F6N23.4 protein)
XP_023644573.1	184	AT1G33710.1, AT1G50080.1, AT1G60720.1, AT2G19146.1, AT3G25720.1, AT4G10613.1	AT1G60720.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0005575;GO:0005634;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;Reverse transcriptase-like protein;Ribonuclease
XP_023644575.1	587	AT1G09710.2	AT1G09710.2	orthologue	GO:0005634;GO:0003674;GO:0000976;GO:0003677	Homeodomain-like superfamily protein;Homeodomain-like superfamily protein (MYB transcription factor)
XP_023644576.1	744	AT1G07110.1	AT1G07110.1	orthologue	GO:0005634;GO:0006499;GO:0006003;GO:0043609;GO:0006002;GO:0006000;GO:0003873;GO:0004331;GO:2001070;GO:0005829;GO:0005524;GO:0005737;GO:0016020;GO:0003824;GO:0030246	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase (6PF-2-K/Fru-2,6-P2ase) (AtF2KP) (PFK/FBPase) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]
XP_023644577.1	158	AT1G07130.1	AT1G07130.1	orthologue	GO:0010833;GO:0000781;GO:1990879;GO:0042162;GO:0016233;GO:0003697;GO:0005515;GO:0003677;GO:0005634;GO:0003676	CST complex subunit STN1 (Suppressor of cdc thirteen homolog) (AtSTN1)
XP_023644589.1	1070	AT1G48410.2	AT1G48410.2	orthologue	GO:0003723;GO:0005515;GO:0010589;GO:0009965;GO:0009616;GO:0035195;GO:0009793;GO:0005737;GO:0003729;GO:0051607;GO:0005634;GO:0048830;GO:0045087;GO:0035198;GO:0016441;GO:0031047;GO:0035197;GO:0004521;GO:0010305;GO:0010218;GO:0009733;GO:0009850;GO:0030154;GO:0009955;GO:0010267;GO:0035278;GO:0036464;GO:0046872;GO:1990904;GO:0003676	Protein argonaute 1
XP_023644590.1	817	AT1G52620.1	AT1G52620.1	orthologue	GO:0005739;GO:0000963;GO:0032981;GO:1990825;GO:0008380;GO:0003729;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At1g52620
XP_023644592.1	610	AT1G26230.1	AT1G26230.1	orthologue	GO:0009507;GO:0005737;GO:0006457;GO:0009570;GO:0009941;GO:0005524;GO:0140662;GO:0042026	Chaperonin 60 subunit beta 4, chloroplastic (CPN-60 beta 4);TCP-1/cpn60 chaperonin family protein
XP_023644595.1	148	AT1G26210.1	AT1G26210.1	orthologue	GO:0005634;GO:0009736;GO:0003674;GO:0005737;GO:0009690;GO:0032502;GO:0009691	Protein SOB FIVE-LIKE 1 (AtSOFL1)
XP_023644597.1	394	AT1G33430.2	AT1G33430.2	orthologue	GO:0016758;GO:0010584;GO:0005794;GO:0016757;GO:0048531;GO:0008378;GO:0000139;GO:0006486;GO:0010407;GO:0009101;GO:0016020	Hexosyltransferase (EC 2.4.1.-);Probable beta-1,3-galactosyltransferase 8 (EC 2.4.1.-)
XP_023644600.1	1143	AT1G05380.1	AT1G05380.1	orthologue	GO:0000976;GO:0005634;GO:0003714;GO:0008270;GO:0006357;GO:0045892;GO:0140110	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein (T25N20.3)
XP_023644612.1	269					
XP_023644614.1	858	AT1G18900.3	AT1G18900.3	orthologue	GO:0005739;GO:0003674;;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At1g18900
XP_023644617.1	528	AT1G02850.4	AT1G02850.4	orthologue	GO:0005886;GO:0008422;GO:0005975;GO:0005576;GO:0004553	Beta glucosidase 11;Beta-glucosidase 11 (AtBGLU11) (EC 3.2.1.21)
XP_023644624.1	469	AT1G24256.1, AT1G06925.1	AT1G24256.1	other	GO:0010468;GO:0003674;GO:0005634;GO:0005777;GO:0004519;GO:0016787	Endonuclease/glycosyl hydrolase;NYN domain-containing protein
XP_023644625.1	335	AT1G02740.1	AT1G02740.1	orthologue	GO:0035064;GO:0006355;GO:0005515;GO:0005634;GO:0040029;GO:2000028;GO:0048586;GO:0008134;GO:0048510;GO:0000123;GO:1990841;GO:1990188;GO:0006325	Protein MRG2 (MRG family protein 2) (Morf Related Gene 2)
XP_023644627.1	307	AT1G02840.1	AT1G02840.1	orthologue	GO:0003723;GO:0005515;GO:0003729;GO:0035061;GO:0016607;GO:0005737;GO:0005634;GO:0005681;GO:0006397;GO:0008380;GO:0003676	Serine/arginine-rich-splicing factor SR34 (At-SR34) (At-SRp34) (AtSR34) (Pre-mRNA-splicing factor SF2) (SR1 protein)
XP_023644630.1	290	AT4G02425.1	AT4G02425.1	other	GO:0003674;GO:0005575;GO:0008150	LYR motif protein
XP_023644639.1	529	AT5G54570.1	AT5G54570.1	orthologue	GO:0008422;GO:0005975;GO:0005576;GO:0005634;GO:0004553;GO:0047782	Putative beta-glucosidase 41 (AtBGLU41) (EC 3.2.1.21);beta-glucosidase (EC 3.2.1.21)
XP_023644641.1	526	AT1G24290.1	AT1G24290.1	orthologue	GO:0000731;GO:0005634;GO:0016887;GO:0006260;GO:0006261;GO:0017116;GO:0008047;GO:0003677;GO:0005524;GO:0005515	AAA-type ATPase family protein (F3I6.23 protein)
XP_023644642.1	388	AT1G24310.1	AT1G24310.1	orthologue	GO:0005635;GO:0036228;GO:0006999;GO:0005730;GO:0017056;GO:0006607;GO:0044613;GO:0005515;GO:0009507;GO:0005643;GO:0015031;GO:0051028	Nuclear pore complex protein NUP54 (Nucleoporin 54)
XP_023644643.1	1497	AT1G27430.1, AT1G24300.1	AT1G27430.1	orthologue	GO:0005634;GO:0003674;GO:0005737;;GO:0005515	GYF domain-containing protein
XP_023644650.1	726	AT1G18460.1	AT1G18460.1	orthologue	GO:0003674;GO:0005576;GO:0005811;GO:0006629;GO:0016020;GO:0016298	Alpha/beta-Hydrolases superfamily protein (At1g18460/F15H18_15)
XP_023644651.1	467	AT1G18470.1	AT1G18470.1	orthologue	GO:0009789;GO:0009507;GO:0005783;GO:0003674;GO:0005739;GO:0008270;GO:0016020	At1g18470 (Transmembrane Fragile-X-F-associated protein);Transmembrane Fragile-X-F-associated protein
XP_023644652.1	1061	AT1G53390.1	AT1G53390.1	orthologue	GO:0140359;GO:0055085;GO:0016020;GO:0005886;GO:0042626;GO:0016887;GO:0005524	ABC transporter G family member 24 (ABC transporter ABCG.24) (AtABCG24) (Probable white-brown complex homolog protein 25) (AtWBC25)
XP_023644653.1	1328	AT1G06143.1	AT1G06143.1	orthologue	GO:0009507;GO:0003700;GO:0003723;GO:0009451;GO:0005515;GO:0006355;GO:0046983	Pentatricopeptide repeat-containing protein At1g06143 (Protein EMBRYO DEFECTIVE 1444)
XP_023644660.1	1337	AT1G08840.3	AT1G08840.3	orthologue	GO:0005737;GO:0006281;GO:0006974;GO:0005634;GO:0017108;GO:0009793;GO:0010073;GO:0006260;GO:0017116;GO:0071932;GO:0003723;GO:0003677;GO:0004386;GO:0004518;GO:0005524;GO:0016887;GO:0046872;GO:0051539;GO:0005694;GO:0033567	DNA helicase (EC 3.6.4.12);DNA replication ATP-dependent helicase/nuclease (EC 3.1.-.-) (EC 3.6.4.12);DNA replication ATP-dependent helicase/nuclease JHS1 (Protein EMBRYO DEFECTIVE 2411) (Protein JING HE SHENG 1) [Includes: DNA replication nuclease JHS1 (EC 3.1.-.-); DNA replication ATP-dependent helicase JHS1 (EC 3.6.4.12)]
XP_023644662.1	251	AT5G50510.1, AT5G50620.1	AT5G50620.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Molecular chaperone Hsp40/DnaJ family protein
XP_023644669.1	1111	AT1G08800.1	AT1G08800.1	orthologue	GO:0005737;GO:0005811;GO:0030133;GO:0017022;GO:0080115;GO:0016020	Myosin-binding protein 1
XP_023644675.1	500	AT1G24490.1	AT1G24490.1	orthologue	GO:0009535;GO:0009579;GO:0072598;GO:0009507;GO:0005515;GO:0032977;GO:0051205;GO:0009658;GO:0010027;GO:0016020	ALBINO3-like protein 1, chloroplastic (Arabidopsis thaliana envelope membrane integrase) (Protein ALBINA 4) (Ath4) (Protein ARTEMIS) (Suppressor of tic40 protein 1);OxaA/YidC-like membrane insertion protein
XP_023644676.1	610	AT1G28530.1	AT1G28530.1	orthologue	GO:0009507;GO:0090391;GO:0003674;GO:0010027;GO:1903866	Deneddylase;Deneddylase (F1K23.23)
XP_023644677.1	372	AT1G02170.1	AT1G02170.1	orthologue	GO:0004197;GO:0006508;GO:0005737;GO:0043068;GO:0005515;GO:0006952	Metacaspase-1 (AtMC1) (EC 3.4.22.-) (Metacaspase 1b) (AtMCP1b) (Protein LSD ONE LIKE 3)
XP_023644678.1	224	AT1G02180.1	AT1G02180.1	orthologue	GO:0005575;GO:0003674	Ferredoxin-like protein
XP_023644679.1	71	AT1G02160.2	AT1G02160.2	orthologue	GO:0003674;GO:0008150;GO:0005739	Cox19 family protein (CHCH motif)
XP_023644680.1	217	AT1G51360.1	AT1G51360.1	orthologue	GO:0003674;GO:0009753;GO:0009620;GO:0005634;GO:0005829;GO:0050832	Stress-response A/B barrel domain-containing protein DABB1 (Dimeric A/B barrel domain-containing protein 1) (AtDabb1)
XP_023644685.1	750	AT1G06740.1	AT1G06740.1	orthologue	GO:0005634;GO:0008270	At1g06740 (F4H5.17 protein) (MuDR family transposase) (MudrA-like protein)
XP_023644688.1	1183	AT1G06720.2	AT1G06720.2	orthologue	GO:0000479;GO:0005525;GO:0000462;GO:0005634;GO:0003924;GO:0034511;GO:0005524;GO:0005654;GO:0005730;GO:0032040;GO:0016787;GO:0042274;GO:0042254;GO:0030686	P-loop containing nucleoside triphosphate hydrolases superfamily protein
XP_023644689.1	491	AT1G06730.1	AT1G06730.1	orthologue	GO:0006190;GO:1900542;GO:0009507;GO:0005634;GO:0019206;GO:0005737	At1g06730/F4H5_22 (PfkB-like carbohydrate kinase family protein)
XP_023644690.1	844	AT1G09770.1	AT1G09770.1	orthologue	GO:0005576;GO:0003700;GO:0000974;GO:0000398;GO:0005515;GO:0006355;GO:0005634;GO:0042742;GO:0050832;GO:0005681;GO:0003677;GO:0006281;GO:0045087	Cell division cycle 5-like protein (Cdc5-like protein) (Atypical R2R3-MYB transcription factor CDC5) (MOS4-associated complex protein 1) (MAC protein 1) (Protein MYB DOMAIN CELL DIVISION CYCLE 5) (AtMYBCD5)
XP_023644693.1	224	AT1G03170.1	AT1G03170.1	orthologue	GO:0005634;GO:0010075;GO:0003674	Protein FANTASTIC FOUR 2
XP_023644694.1	300	AT1G11360.1	AT1G11360.1	orthologue	GO:0005576;GO:0005634;GO:0003674;GO:0002238;GO:0005524;GO:0009507;GO:0016787	AT1G11360 protein (Adenine nucleotide alpha hydrolases-like superfamily protein)
