Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_048635487.1	166	AT1G32250.1	AT1G32250.1	orthologue	GO:0030234;GO:0008150;GO:0005575;GO:0005509;GO:0005737;GO:0016460	Probable calcium-binding protein CML17 (Calmodulin-like protein 17)
XP_048635488.1	215					
XP_048635489.1	308	AT1G33020.1	AT1G33020.1	other	GO:0005634;GO:0008150;GO:0003674	Putative F-box protein At1g33020
XP_048635490.1	614	AT1G32450.1	AT1G32450.1	orthologue	GO:1902600;GO:0055075;GO:0010150;GO:0055085;GO:0005886;GO:0022857;GO:0016020;GO:0015386;GO:0005634;GO:0015706;GO:0010167;GO:0015112;GO:0015293	Protein NRT1/ PTR FAMILY 7.3 (AtNPF7.3) (Nitrate transporter 1.5)
XP_048635491.1	571	AT1G32440.1	AT1G32440.1	orthologue	GO:0006096;GO:0006633;GO:0010431;GO:0009507;GO:0009570;GO:0030955;GO:0004743;GO:0005737;GO:0000287;GO:0005524;GO:0016301;GO:0003824	Plastidial pyruvate kinase 3, chloroplastic (PKp3) (EC 2.7.1.40) (Pyruvate kinase I) (Pyruvate kinase isozyme B2, chloroplastic) (PKP-BETA2) (Plastidic pyruvate kinase beta subunit 2)
XP_048635492.1	1047	AT2G35340.1	AT2G35340.1	orthologue	GO:0009793;GO:0016887;GO:0005634;GO:0004386;GO:0003724;GO:0003723;GO:0005524;GO:0005681;GO:0006397;GO:0008380;GO:0005622;GO:0071013;GO:0003676	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH6 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2) (Protein MATERNAL EFFECT EMBRYO ARREST 29);RNA helicase (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2)
XP_048635493.1	469	AT1G32500.1	AT1G32500.1	orthologue	GO:0009507;GO:0016226;GO:0005515;GO:0009793;GO:0022857;GO:0010027;GO:0009570;GO:0009536	Protein ABCI7, chloroplastic (ABC transporter I family member 7) (ABC transporter ABCI.7) (AtABCI7) (Non-intrinsic ABC protein 6) (Plastid SufD-like protein)
XP_048635494.1	157	AT1G32540.1	AT1G32540.1	orthologue	GO:0034052;GO:2000121;GO:0098542;GO:0043068;GO:0003677;GO:0005576;GO:0005634;GO:0009626;GO:0016020	Lsd one like 1;Protein LOL1 (Protein LSD ONE LIKE 1) (AtLOL1) (Putative zinc finger LOL1)
XP_048635497.1	272	AT4G31660.1	AT4G31660.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677	B3 domain-containing protein REM7 (Auxin response factor 25) (Protein REPRODUCTIVE MERISTEM 7)
XP_048635498.1	176	AT1G32583.1	AT1G32583.1	orthologue	GO:0005576;GO:0001709;GO:0003674;GO:0009408	TPD1 protein homolog 1 (TPD1-like protein 1) (AtTDL1)
XP_048635499.1	422	AT5G52330.1, AT4G16045.1	AT5G52330.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0045087;GO:1905037;GO:0005515	At5g52330 (Similarity to unknown protein) (TRAF-like superfamily protein);TRAF-like superfamily protein
XP_048635500.1	894	AT2G11570.1	AT2G11570.1	orthologue	GO:0008150;GO:0005737;GO:0003674	Uncharacterized protein At2g11570
XP_048635501.1	605	AT1G32640.1	AT1G32640.1	other	GO:0045893;GO:0003677;GO:0009759;GO:0005515;GO:0000976;GO:0051289;GO:0106167;GO:0005634;GO:2000652;GO:0090357;GO:0046983;GO:0006568;GO:0048364;GO:2000068;GO:0009867;GO:0006355;GO:0010374;GO:0009737;GO:0009269;GO:0003700;GO:0043565;GO:0009611;GO:0019900;GO:0009753;GO:0009963;GO:0009738;GO:0051090	Transcription factor MYC2 (AtMYC2) (Basic helix-loop-helix protein 6) (AtbHLH6) (bHLH 6) (Protein JASMONATE INSENSITIVE 1) (R-homologous Arabidopsis protein 1) (RAP-1) (Transcription factor EN 38) (Z-box binding factor 1 protein) (bHLH transcription factor bHLH006) (rd22BP1)
XP_048635502.1	149	AT1G32630.1	AT1G32630.1	orthologue	GO:0005634;GO:0008150;GO:0003674	At1g32630 (F6N18.3) (FAM50A-like protein)
XP_048635504.1	191	AT1G32690.1	AT1G32690.1	orthologue	GO:0003674;GO:0005634	At1g32690 (DUF740 family protein)
XP_048635505.1	322	AT1G32780.1	AT1G32780.1	other	GO:0051903;GO:0005737;GO:0005829;GO:0008270;GO:0046294;GO:0004022;GO:0004024	Alcohol dehydrogenase-like 3 (EC 1.1.1.1)
XP_048635506.1	825	AT1G32850.1	AT1G32850.1	other	GO:0004843;GO:0005737;GO:0008150;GO:0006508;GO:0016579	Putative ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (AtUBP11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)
XP_048635507.1	615	AT1G32900.1	AT1G32900.1	orthologue	GO:0019252;GO:0004373;GO:0009507;GO:0009569;GO:0033840;GO:0005515;GO:0016757	Granule-bound starch synthase 1, chloroplastic/amyloplastic (AtGBS1) (AtGBSS1) (EC 2.4.1.242) (Granule-bound starch synthase I) (GBSS-I)
XP_048635511.1	322	AT1G27890.1, AT1G27820.1, AT1G61470.1	AT1G61470.1	orthologue	GO:0000288;GO:0000932;GO:0004535;GO:0030014;GO:0030015;GO:0005739;GO:0005634;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 5 (EC 3.1.13.4);Putative CCR4-associated factor 1 homolog 3 (EC 3.1.13.4);Putative CCR4-associated factor 1 homolog 4 (EC 3.1.13.4)
XP_048635512.1	67	AT1G33055.1	AT1G33055.1	orthologue	GO:0003674;GO:0071456;GO:0009061;GO:0005739	Uncharacterized protein unannotated coding sequence from BAC F9L11
XP_048635515.1	185	AT1G33760.1	AT1G33760.1	orthologue	GO:0006355;GO:0005634;GO:2000280;GO:0003700;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF022
XP_048635516.1	225	AT1G51070.2	AT1G51070.2	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0046983;GO:0005515;GO:0060586;GO:0006879;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH115 (Basic helix-loop-helix protein 115) (AtbHLH115) (bHLH 115) (Transcription factor EN 134) (bHLH transcription factor bHLH115)
XP_048635517.1	398				GO:0008270	
XP_048635520.1	276	AT1G47260.1	AT1G47260.1	orthologue	GO:2000377;GO:0031966;GO:0045271;GO:0042802;GO:0005515;GO:0005739;GO:0070207;GO:0009901;GO:0005634;GO:0004089;GO:0005737;GO:0009853;GO:0046872	Gamma carbonic anhydrase 2, mitochondrial (AtCA2) (GAMMA CA2) (EC 4.2.1.-) (Transcription factor APFI)
XP_048635521.1	676	AT1G50480.1	AT1G50480.1	orthologue	GO:0004329;GO:0048046;GO:0005507;GO:0005829;GO:0005737;GO:0009507;GO:0035999;GO:0005634;GO:0005524	Formate--tetrahydrofolate ligase (EC 6.3.4.3) (10-formyletrahydrofolate synthetase) (FHS) (FTHFS) (Formyltetrahydrofolate synthetase)
XP_048635522.1	937	AT4G33520.2	AT4G33520.2	orthologue	GO:0005507;GO:0005515;GO:0005886;GO:0009767;GO:0009941;GO:0035434;GO:0055070;GO:0140581;GO:0009507;GO:0015662;GO:0043682;GO:0016531;GO:0009536;GO:0009570;GO:0019829;GO:0016020;GO:0005375;GO:0016887;GO:0005524;GO:0031969;GO:0046872;GO:0005215;GO:0006812;GO:0000166	Copper-transporting ATPase PAA1, chloroplastic (EC 7.2.2.8) (Protein HEAVY METAL ATPASE 6) (Protein glucose insensitive root 1);P-type ATP-ase 1
XP_048635523.1	174	AT3G20060.1	AT3G20060.1	other	GO:0061631;GO:0006511;GO:0005634;GO:0006605;GO:0005515;GO:0031145;GO:0005737;GO:0051301;GO:0030071;GO:0016567;GO:0000209;GO:0004842;GO:0009416;GO:0005524	Ubiquitin-conjugating enzyme E2 19 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 19) (Ubiquitin carrier protein 19)
XP_048635524.1	346	AT1G49660.1	AT1G49660.1	orthologue	GO:0005829;GO:0052689;GO:0106435;GO:0005634;GO:0016787	Probable carboxylesterase 5 (AtCXE5) (EC 3.1.1.1)
XP_048635525.1	700	AT3G19370.1	AT3G19370.1	orthologue	GO:0005737;GO:0003674;GO:0005575;GO:0008150	Filament-like protein (DUF869)
XP_048635526.1	602	AT3G19420.1	AT3G19420.1	orthologue	GO:0006970;GO:0016314;GO:0070300;GO:0009651;GO:0052866;GO:0005829;GO:0035335;GO:0004725;GO:0009507;GO:0046856;GO:0016311;GO:0016791	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and protein-tyrosine-phosphatase PTEN2A (EC 3.1.3.48) (EC 3.1.3.67) (Protein PHOSPHATASE AND TENSIN HOMOLOG 2-a) (AtPTEN2) (AtPTEN2a)
XP_048635527.1	856	AT4G33530.1	AT4G33530.1	orthologue	GO:0015079;GO:0071805;GO:0000325;GO:0005634;GO:0005576;GO:0006813;GO:0016020;GO:0005886;GO:0005774	Potassium transporter;Potassium transporter 13 (AtKT5) (AtPOT13)
XP_048635528.1	355	AT1G33970.1	AT1G33970.1	orthologue	GO:1900425;GO:0005515;GO:0005739;GO:0005886;GO:0005525	Immune-associated nucleotide-binding protein 9 (AtIAN9) (AIG1-like protein)
XP_048635530.1	419	AT3G43960.1	AT3G43960.1	orthologue	GO:0048767;GO:0016020;GO:0051603;GO:0004197;GO:0009507;GO:0005615;GO:0005764;GO:0006508;GO:0008234	Probable cysteine protease RDL3 (EC 3.4.22.-) (Probable cysteine proteinase At3g43960) (RD21A-like protease 3)
XP_048635531.1	506	AT3G19280.1	AT3G19280.1	orthologue	GO:0016757;GO:0005794;GO:0018279;GO:0046920;GO:0008417;GO:0036065;GO:0006486;GO:0006487;GO:0018392;GO:0032580;GO:0042355;GO:0046872;GO:0071555;GO:0009101;GO:0016020	Glycoprotein 3-alpha-L-fucosyltransferase A (EC 2.4.1.214) (Core alpha-(1,3)-fucosyltransferase) (Fuc-T C3) (FucT1) (FucTA) (Fucosyltransferase 11) (AtFUT11)
XP_048635532.1	799	AT4G33620.1	AT4G33620.1	orthologue	GO:0016926;GO:0009793;GO:0005634;GO:0005515;GO:0070139;GO:0009561;GO:0055046;GO:0006508;GO:0008234	Probable ubiquitin-like-specific protease 2A (EC 3.4.22.-)
XP_048635533.1	594	AT1G50620.1	AT1G50620.1	orthologue	GO:0003674;GO:0005634;GO:0008270	RING/FYVE/PHD zinc finger superfamily protein
XP_048635535.1	459	AT3G19320.1	AT3G19320.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0005576;GO:0005886;GO:0005515	Leucine-rich repeat (LRR) family protein
XP_048635536.1	576	AT1G50190.1	AT1G50190.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0046872	Cysteine/Histidine-rich C1 domain family protein
XP_048635537.1	327	AT1G49560.1	AT1G49560.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0000976;GO:0003677	Homeodomain-like superfamily protein;Transcription factor HHO6 (MYB-domain transcription factor HHO6) (Protein HRS1 HOMOLOG 6)
XP_048635538.1	229	AT1G49510.1	AT1G49510.1	orthologue	GO:0009658;GO:0005739;GO:0071472;GO:0009793;GO:0009507;GO:0003674;GO:0016020	At1g49510 (Embryo defective 1273) (F13F21.5 protein);Embryo defective 1273
XP_048635540.1	138				GO:0005515;GO:0002098;GO:0033588	
XP_048635541.1	221	AT1G49480.1	AT1G49480.1	orthologue	GO:0005634;GO:0005515;GO:0009409;GO:0003677;GO:0005886	B3 domain-containing protein REM19 (Protein RELATED TO VERNALIZATION 1) (Protein REPRODUCTIVE MERISTEM 19)
XP_048635542.1	666	AT1G49430.1	AT1G49430.1	orthologue	GO:0010025;GO:0006631;GO:0009506;GO:0006633;GO:0050832;GO:0010143;GO:0009507;GO:0005783;GO:0016020;GO:0004467;GO:0031957;GO:0010311;GO:0005524	Long chain acyl-CoA synthetase 2 (EC 6.2.1.3) (Protein Botrytis resistant 1) (Protein LATERAL ROOT DEVELOPMENT 2);Long-chain acyl-CoA synthetase 2
XP_048635543.1	384	AT1G49350.1	AT1G49350.1	orthologue	GO:0016301;GO:0050225;GO:0046131;GO:0005777;GO:0005737;GO:0005524;GO:0046872;GO:0004730;GO:0016798	Pseudouridine kinase (EC 2.7.1.83)
XP_048635544.1	131	AT3G03410.1	AT3G03410.1	orthologue	GO:0005509;GO:0008150;GO:0005575	Probable calcium-binding protein CML34 (Calmodulin-like protein 2) (Calmodulin-like protein 34)
XP_048635545.1	2008	AT1G49340.1	AT1G49340.1	orthologue	GO:0009555;GO:0005886;GO:0009898;GO:0005634;GO:0004430;GO:0046854;GO:0070300;GO:0005737;GO:0048015;GO:0005546;GO:0006468;GO:0070273;GO:0001727;GO:0051015;GO:0098797;GO:0031234;GO:0048471;GO:0048364;GO:0098857;GO:0048831;GO:0009506;GO:0016020;GO:0016301;GO:0052742	1-phosphatidylinositol 4-kinase (EC 2.7.1.67);Phosphatidylinositol 4-kinase alpha 1 (PI4-kinase alpha 1ao) (PtdIns-4-kinase alpha 1) (EC 2.7.1.67) (Phosphatidylinositol 4-OH kinase alpha1) (AtPI4Kalpha1) (PI-4Kalpha1)
XP_048635548.1	127					
XP_048635549.1	129	AT1G49170.1	AT1G49170.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0016301	At1g49170 (Similar to serine/threonine kinase 9 gb|AAD28798.1)
XP_048635550.1	314	AT1G49130.1	AT1G49130.1	orthologue	GO:0003700;GO:0006355;GO:0005515;GO:0009408;GO:0005634;GO:0008270	B-box type zinc finger protein with CCT domain-containing protein;Zinc finger protein CONSTANS-LIKE 8
XP_048635551.1	549	AT1G49050.1	AT1G49050.1	orthologue	GO:0004190;GO:0050832;GO:0005576;GO:0005515;GO:0006508;GO:0016020	Aspartyl protease APCB1 (EC 3.4.23.-) (Aspartyl protease cleaving BAG 1);Eukaryotic aspartyl protease family protein
XP_048635553.1	273	AT3G30730.2	AT3G30730.2	orthologue	GO:0005575;GO:0003674	Uncharacterized protein
XP_048635554.1	626	AT1G48930.1	AT1G48930.1	orthologue	GO:0005576;GO:0008150;GO:0030246;GO:0008810;GO:0005515;GO:0030245;GO:0071555;GO:0004553;GO:0005975	Endoglucanase 5 (EC 3.2.1.4) (Endo-1,4-beta glucanase 5)
XP_048635555.1	691	AT1G48840.1	AT1G48840.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Heat-inducible transcription repressor (DUF639)
XP_048635557.1	438	AT1G48850.1	AT1G48850.1	orthologue	GO:0009073;GO:0005730;GO:0004107;GO:0009793;GO:0009507;GO:0010181;GO:0009423;GO:0009570;GO:0005829;GO:0009536;GO:0005634;GO:0008652	Chorismate synthase (EC 4.2.3.5);Chorismate synthase, chloroplastic (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (Protein EMBRYO DEFECTIVE 1144)
XP_048635558.1	113					
XP_048635560.1	849	AT1G48760.1	AT1G48760.1	orthologue	GO:0006896;GO:0005515;GO:0006903;GO:1990019;GO:0030123;GO:0005794;GO:0006623;GO:0006886;GO:0010008;GO:0007032;GO:0005634;GO:0080171;GO:0000139;GO:0016192;GO:0030117;GO:0015031	AP-3 complex subunit delta (Adaptor-related protein complex 3 subunit delta) (Delta-adaptin) (At-d-Ad) (At-delta-Ad) (Protein-affected trafficking 4)
XP_048635561.1	387	AT1G35820.1, AT1G43720.1, AT3G42870.1, AT3G30520.1, AT5G36080.1, AT3G32904.1	AT3G30520.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005739;GO:0005634;GO:0003677	Emb|CAB88131.1 (Myb/SANT-like DNA-binding domain protein);Heat shock protein;Myb/SANT-like DNA-binding domain protein;Uncharacterized protein
XP_048635563.1	212	AT3G30525.1	AT3G30525.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_048635565.1	422	AT1G48620.1	AT1G48620.1	orthologue	GO:0045910;GO:0005730;GO:0005634;GO:0031492;GO:0006334;GO:0000786;GO:0030261;GO:0009294;GO:0003690;GO:0003677;GO:0030527	At1g48620 (High mobility group A5)
XP_048635566.1	186	AT1G48610.1	AT1G48610.1	orthologue	GO:0005634;GO:0003677	AT hook motif-containing protein;Putative DNA-binding protein At1g48610 (AT-hook DNA-binding motif-containing protein At1g48610)
XP_048635567.1	407	AT1G48450.1	AT1G48450.1	orthologue	GO:0005515;GO:0005575;GO:0016874	Alanine-tRNA ligase, putative (DUF760);Alanine-tRNA ligase, putative (DUF760) (At1g48450/T1N15_5) (T1N15.6)
XP_048635568.1	1515	AT2G47800.1	AT2G47800.1	orthologue	GO:0005886;GO:0042626;GO:0008517;GO:0005773;GO:0005794;GO:0000325;GO:0009624;GO:0009611;GO:0005829;GO:0009414;GO:0008559;GO:0005774;GO:0016887;GO:0055085;GO:0016020;GO:0009507;GO:0009506;GO:0010118;GO:0005524;GO:0140359	ABC transporter C family member 4 (ABC transporter ABCC.4) (AtABCC4) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 4) (Glutathione S-conjugate-transporting ATPase 4) (Multidrug resistance-associated protein 4)
XP_048635569.1	150	AT1G36340.1	AT1G36340.1	orthologue	GO:0005739;GO:0006511;GO:0061631;GO:0000209;GO:0005634;GO:0016567;GO:0000325;GO:0005524	Probable ubiquitin-conjugating enzyme E2 31 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 31) (Ubiquitin carrier protein 31)
XP_048635570.1	123	AT1G36340.1	AT1G36340.1	orthologue	GO:0005739;GO:0006511;GO:0061631;GO:0000209;GO:0005634;GO:0016567;GO:0000325;GO:0005524	Probable ubiquitin-conjugating enzyme E2 31 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 31) (Ubiquitin carrier protein 31)
XP_048635571.1	106	AT1G36340.1	AT1G36340.1	orthologue	GO:0005739;GO:0006511;GO:0061631;GO:0000209;GO:0005634;GO:0016567;GO:0000325;GO:0005524	Probable ubiquitin-conjugating enzyme E2 31 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 31) (Ubiquitin carrier protein 31)
XP_048635572.1	452	AT3G19080.3	AT3G19080.3	orthologue	GO:0003674;GO:0009506;GO:0005634;GO:0000500;GO:0001181	SWIB complex BAF60b domain-containing protein
XP_048635573.1	352	AT3G19000.1	AT3G19000.1	other	GO:0005737;GO:0003674;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Oxylase-like protein)
XP_048635574.1	346	AT3G18990.2	AT3G18990.2	orthologue	GO:0010048;GO:0009909;GO:0003677;GO:0000976;GO:0005654;GO:0005634	AP2/B3-like transcriptional factor family protein;B3 domain-containing transcription factor VRN1 (Protein VERNALIZATION 1)
XP_048635575.1	212	AT3G18960.1, AT4G01580.1	AT3G18960.1	orthologue	GO:0005515;GO:0005634;GO:0009507;GO:0003674;GO:0003677	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein At3g18960;B3 domain-containing protein At4g01580
XP_048635576.1	420				GO:0015095;GO:0015693	
XP_048635577.1	458	AT3G18950.1	AT3G18950.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	En/Spm-like transposon protein-like (Transducin/WD40 repeat-like superfamily protein)
XP_048635578.1	281	AT3G18940.1	AT3G18940.1	orthologue	GO:0043248;GO:0003674;GO:0005829;GO:0005634	Proteasome assembly chaperone 2
XP_048635579.1	642	AT3G18890.1	AT3G18890.1	orthologue	GO:0098807;GO:0009535;GO:0009534;GO:0003674;GO:0009941;GO:0005829;GO:0009507;GO:0009570;GO:0009706;GO:0015031	Protein TIC 62, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 62) (AtTIC62)
XP_048635580.1	416	AT3G18930.1	AT3G18930.1	orthologue	GO:0005634;GO:0016567;GO:0031982;GO:0009507;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL65 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL65)
XP_048635581.1	286	AT3G18870.1	AT3G18870.1	orthologue	GO:0003690;GO:0009507;GO:0071472;GO:0006355;GO:0042646;GO:0003676;GO:0006353;GO:0009658;GO:0043231	At3g18870 (Mitochondrial transcription termination factor family protein)
XP_048635582.1	110	AT1G49400.1, AT3G18880.1	AT3G18880.1	other	GO:0003735;GO:0006412;GO:0009793;GO:0005575;GO:0005840;GO:0019843;GO:1990904	Small ribosomal subunit protein uS17c
XP_048635583.1	675	AT3G18840.2	AT3G18840.2	orthologue	GO:0009451;GO:0005739;GO:0005575;GO:0003723;GO:0005515	Putative pentatricopeptide repeat-containing protein At3g18840
XP_048635584.1	376	AT3G18850.1	AT3G18850.1	orthologue	GO:0012505;GO:0005739;GO:0016024;GO:0016746;GO:0003841;GO:0005634;GO:0016020	1-acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51);Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 5 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 5)
XP_048635585.1	449	AT4G33470.1	AT4G33470.1	orthologue	GO:0005634;GO:0005737;GO:0042548;GO:0004407;GO:0048487;GO:0000118;GO:0008270;GO:0009507;GO:0040029;GO:0043014;GO:0009570;GO:0005515;GO:0090042;GO:0005829;GO:0006476;GO:0019213;GO:0005739;GO:0033558;GO:0051721;GO:0042903;GO:0030186;GO:0006325;GO:0141221;GO:0016575	Histone deacetylase 14, chloroplastic (EC 3.5.1.-) (N-acetylserotonin deacetylase)
XP_048635588.1	460	AT1G49610.1, AT3G03360.1, AT3G18150.1	AT3G18150.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005737;GO:0005739;GO:0005515	F-box/LRR-repeat protein At3g03360;F-box/RNI-like superfamily protein;Putative F-box protein At1g49610;Putative F-box/LRR-repeat protein At3g18150
XP_048635589.1	206	AT3G18820.1	AT3G18820.1	orthologue	GO:0006886;GO:0005886;GO:0009705;GO:0045324;GO:0005622;GO:0007033;GO:0005829;GO:0003924;GO:0005774;GO:0010008;GO:0005515;GO:0005634;GO:0005794;GO:0005525	Ras-related protein RABG3f (AtRABG3f) (Ras-related protein Rab71) (AtRab71) (Ras-related protein Rab7B) (AtRab7B)
XP_048635590.1	665	AT3G18810.1	AT3G18810.1	orthologue	GO:0005634;GO:0004674;GO:0008150;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	Putative proline-rich receptor-like protein kinase PERK6 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 6) (AtPERK6)
XP_048635591.1	297	AT3G18790.1	AT3G18790.1	orthologue	GO:0000389;GO:0000350;GO:0071014;GO:0071020;GO:0000974;GO:0005829;GO:0003674;GO:0071013;GO:0005634	AT3G18790 protein (AT3g18790/MVE11_17) (Pre-mRNA-splicing factor ISY1-like protein)
XP_048635592.1	203	AT3G18800.1	AT3G18800.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0016020	At3g18800 (Transmembrane protein)
XP_048635593.1	377	AT3G18780.2	AT3G18780.2	orthologue	GO:0005515;GO:0005829;GO:0048768;GO:0048767;GO:0010053;GO:0005737;GO:0010218;GO:0009735;GO:0005634;GO:0015629;GO:0009644;GO:0005200;GO:0010114;GO:0005524;GO:0005856;GO:0016787;GO:0009653;GO:0048468;GO:0048731	Actin 2;Actin-2 (EC 3.6.4.-)
XP_048635594.1	1324	AT3G18730.1	AT3G18730.1	orthologue	GO:0072423;GO:0005737;GO:0009933;GO:0005634;GO:0009934;GO:0000086;GO:0051301;GO:0005515;GO:0040029;GO:0000724;GO:0005654;GO:0005694;GO:0031297;GO:0042393;GO:0006325	Protein TONSOKU (Protein BRUSHY 1) (Protein MGOUN 3)
XP_048635597.1	656	AT3G18660.2	AT3G18660.2	orthologue	GO:0045492;GO:0005634;GO:0010417;GO:0015020;GO:0016757;GO:0005982;GO:0005794;GO:0080116;GO:0009834;GO:0000139;GO:0046872;GO:0071555	Hexosyltransferase (EC 2.4.1.-);UDP-glucuronate:xylan alpha-glucuronosyltransferase 1 (UDP-GlcA:xylan glucuronyltransferase 1) (EC 2.4.1.-) (Glycogenin-like protein 1) (Plant glycogenin-like starch initiation protein 1) (Protein GLUCURONIC ACID SUBSTITUTION OF XYLAN 1) (AtGUX1)
XP_048635603.1	326					
XP_048635604.1	465	AT1G80960.1	AT1G80960.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	F-box and Leucine Rich Repeat domains containing protein;F-box protein At1g80960
XP_048635607.1	491	AT3G18490.1	AT3G18490.1	orthologue	GO:0009627;GO:0009737;GO:0070001;GO:0009414;GO:0005576;GO:0005783;GO:0003677;GO:0004190;GO:0006508	Protein ASPARTIC PROTEASE IN GUARD CELL 1 (AtASPG1) (EC 3.4.23.-)
XP_048635608.1	599				GO:0006508;GO:0008234	
XP_048635609.1	856	AT1G48760.1	AT1G48760.1	other	GO:0006896;GO:0005515;GO:0006903;GO:1990019;GO:0030123;GO:0005794;GO:0006623;GO:0006886;GO:0010008;GO:0007032;GO:0005634;GO:0080171;GO:0000139;GO:0016192;GO:0030117;GO:0015031	AP-3 complex subunit delta (Adaptor-related protein complex 3 subunit delta) (Delta-adaptin) (At-d-Ad) (At-delta-Ad) (Protein-affected trafficking 4)
XP_048635610.1	96	AT3G18280.2	AT3G18280.2	orthologue	GO:0003674;GO:0006869;GO:0005739;GO:0005576;GO:0008289	AT3g18280/MIE15_7 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (Lipid transfer protein);Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
